x,LCC,full,uniform,OSMAC
100,0.77814,0.01694,0.39118,0.3138
200,0.33716,0.01694,0.29508,0.20093
300,0.20984,0.01694,0.22842,0.15166
500,0.12677,0.01694,0.16349,0.09835
700,0.09071,0.01694,0.1236,0.07707
1000,0.06448,0.01694,0.0929,0.05577
